descretePN	verb	PN
ネガ（評価）	剛愎 の	0.0
ネガ（評価）	合わせ にくい	0.0
ネガ（評価）	酷 たらしい	0.0
ネガ（評価）	酷 だ	0.0
ネガ（評価）	酷 です	0.0
ネガ（評価）	酷 の	0.0
ネガ（評価）	酷い	0.0
ネガ（評価）	軽蔑	0.0
ネガ（評価）	好き嫌い は ある	0.0
ネガ（評価）	腰抜け の	0.0
ネガ（評価）	姑息 です	0.0
ネガ（評価）	個性 が ない	0.0
ネガ（評価）	個性 は ない	0.0
ネガ（評価）	古めかしい	0.0
ネガ（評価）	古臭い	0.0
ネガ（評価）	嫌み の	0.0
ネガ（評価）	固陋 だ	0.0
ネガ（評価）	固陋 です	0.0
ネガ（評価）	姑息 だ	0.0
ネガ（評価）	嫌み です	0.0
ネガ（評価）	好き嫌い が ある	0.0
ネガ（評価）	胡散臭い	0.0
ネガ（評価）	嫌み だ	0.0
ネガ（評価）	誇大 だ	0.0
